"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CNFPKHQS","bookSection","2018","Ramaekers, Stefan","Love for the World in Education","Manifesto for a Post-Critical Pedagogy","1-947447-38-6","","","","In my response, I will not go into the manifesto as such, or as a whole. I will limit myself to responding to the authors’ claim that “[w]hen we truly love the world, our world, we must be willing to pass it on to the new generation,” which is a reference to (a short transcription of) Hannah Arendt’s (by now, I guess) famous passage where she brings together education and love for the world: “Education is the point at which we decide whether we love the world enough to assume responsibility for it and by the same token save it","2018","2026-02-02 18:47:39","2026-02-02 18:51:27","","63-","","","","","","","","","","","punctum books","","eng","2017 the editors and authors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJCVCJBN","book","1979","Arendt, Hannah; Hill, Melvyn A.","Hannah Arendt, the recovery of the public world","","0-312-36071-1","","","","","1979","2026-02-02 18:47:39","2026-02-02 18:51:13","","","","","","","","","","","","","St. Martin's Press","New York","eng","","","","","","","Publication Title: Hannah Arendt, the recovery of the public world LCCN: 78019393","","","","Arendt Hannah 1906-1975; Political science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RB2I4QA4","book","2018","Kristeva, , Julia; Collins, Frank","Hannah Arendt : Life is a Narrative","","1-282-01435-8","","","","""In this volume, based on the series of Alexander Lectures she delivered at the University of Toronoto, Julia Kristeva explores the philosophical aspects of Hannah Arendt's work: her understanding of such concepts as language, self, body, political space, and life. Kristeva's aim is to clarify contradictions in Arendt's thought as well as correct misapprehensions about her political and philosophical views.""–Jacket","2018","2026-02-02 18:47:39","2026-02-02 18:50:59","","","","","","","","","Alexander Lectures","","","","University of Toronto Press,","Toronto","eng","","","","","","","Publication Title: Hannah Arendt : Life is a Narrative","","","","Arendt Hannah 1906-1975; DISCOUNT-C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24RX5BR2","book","2002","Hull, Margaret Betz","The hidden philosophy of Hannah Arendt","","0-203-22067-6","","","","The central argument of this book is that Hannah Arendt's deserved place in the history of Western philosophy has been overlooked, and recognition of her contribution is long overdue. In part a result of Arendt's own insistence on calling herself a 'political thinker' throughout her career, this is also due to a common tendency in philosophy to denigrate the political. This book explores the indisputable philosophical dimensions of her work. In particular, it examines Arendt's theoretical commitment to recognizing humanity as a plurality, which avoids the common mistake in Western philosophy o","2002","2026-02-02 18:47:39","2026-02-02 18:51:42","","","","","","","","","RoutledgeCurzon Jewish philosophy series","","","","RoutledgeCurzon","London ;","eng","","","","","","","Publication Title: The hidden philosophy of Hannah Arendt","","","","Arendt Hannah 1906-1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALHT3BEH","book","2010","Berkowitz, Roger; Katz, Jeffrey; Keenan, Thomas","Thinking in dark times : Hannah Arendt on ethics and politics","","0-8232-4854-2","","","","Hannah Arendt is one of the most important political theorists of the 20th century. This book focuses on how, against the professionalized discourses of theory, Arendt insists on the greater political importance of the ordinary activity of thinking.","2010","2026-02-02 18:47:39","2026-02-02 18:52:59","","","","","","","","","","","","","Fordham University Press","New York","eng","","","","","","","Publication Title: Thinking in dark times : Hannah Arendt on ethics and politics","","","","Arendt Hannah 1906-1975 – Political and social views; Political ethics; Political science – Philosophy","","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHNUHPD9","book","2022","Hermsen, Joke J.; Monaghan, Brendan","A good and dignified life : the political advice of Hannah Arendt and Rosa Luxemburg","","0-300-26494-1","","","","January 2019 marked the centenary of the murder of Rosa Luxemburg, a Polish-German revolutionary whose actions provided long-lasting contributions to political philosophy and whose ideas on citizen councils, participative democracy, and imperialist capitalism greatly influenced Hannah Arendt's life and thought. In this book, Joke J. Hermsen explores the ways in which Luxemburg's life shaped Arendt's philosophy, and she investigates how the insights of both Luxemburg and Arendt may help us move toward a more sustainable and just contemporary society.0 Hermsen tracks the feminist underpinnings of radical politics in the twentieth century through the lives of these two women; how the tragic ending of Rosa Luxemburg's life and Arendt's keen empathy for her legacy provide poignant inspiration. In the end, this book dramatizes the challenges put to us through these women's works: What is it to be a human being? How do we lead a good and dignified life?","2022","2026-02-02 18:47:39","2026-02-02 18:47:39","","","","","","","","","A Margellos World Republic of Letters Book","","","","Yale University Press","New Haven, Connecticut","eng","","","","","","","Publication Title: A good and dignified life : the political advice of Hannah Arendt and Rosa Luxemburg","","","","Arendt Hannah 1906-1975 – Political and social views; Luxemburg Rosa 1871-1919 – Political and social views; Political and social views","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILJQEIWZ","book","2012","McCarthy, Michael H.","The political humanism of Hannah Arendt","","979-8-216-29191-6","","","","This critical study of Arendt explores the sources and dangers of political alienation in the West from the citizen republics of classical antiquity to the consumer societies of modern liberal democracies. It is a sympathetic appraisal of the high promise and great perils of the political life (the bios politikos).","2012","2026-02-02 18:47:39","2026-02-02 18:52:48","","","","","","","","","","","","","Lexington Books","Lanham, Md","eng","","","","","","","Publication Title: The political humanism of Hannah Arendt LCCN: 2012021598","","","","Arendt Hannah 1906-1975 – Political and social views; Humanism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIVDY4KX","book","2002","Hull, Margaret Betz","The hidden philosophy of Hannah Arendt","","0-7007-1704-8","","","","","2002","2026-02-02 18:47:40","2026-02-02 18:52:43","","","","","","","","","RoutledgeCurzon Jewish philosophy series","","","","RoutledgeCurzon","London ;","eng","","","","","","","Publication Title: The hidden philosophy of Hannah Arendt LCCN: 2002069861","","","","Arendt Hannah 1906-1975; Arendt Hannah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YWNZ2R9G","book","2016","Sigwart, Hans-Jörg; service), SpringerLink (Online","The Wandering Thought of Hannah Arendt","","978-1-137-48215-0","","","https://go.openathens.net/redirector/wcu.edu?url=http://link.springer.com/book/10.1057/978-1-137-48215-0","This book interprets Hannah Arendt’s work as a “wandering” type of political theory. Focusing on the sub-text of Arendt’s writings which questions “how to think” adequately in political theory whilst categorically refraining from explicitly investigating meta-theoretical questions of epistemology and methodology, the book characterizes her theorizing as an oscillating movement between the experiential positions of philosophy and politics, and by its distinctly multi-contextual perspective. In contrast to the “not of this world” attitude of philosophy, the book argues that Arendt’s political theory is “of this world”. In contrast to politics, it refrains from being “at home” in any particular part of this world and instead wanders between the multiple horizons of the many different political worlds in time and space. The book explores how these two decisive motives of Arendt’s theoretical self-perception majorly influence her epistemological, methodological and normative frame of reference and inspire her understanding of major concepts, including politics, judgment, understanding, nature, and space. Hans-Jörg Sigwart is Senior Lecturer in Political Theory at the University of Erlangen-Nuremberg, Germany. He has held guest professorships, fellowships and research visits at Central European University, Budapest, Hungary; Duke University, USA; Hoover Institute at Stanford University, USA; Louisiana State University USA; University of Darmstadt, Germany; and, University of Damascus, Syria. His publications include books on the political thought of Hannah Arendt, John Dewey, and Eric Voegelin.","2016","2026-02-02 18:47:40","2026-02-02 18:52:56","","","","","","","","","Global Political Thinkers","","","","Palgrave Macmillan UK","London","eng","","","","","","","","","","","Political science; Political science – Philosophy; Political Philosophy; Political Science and International Relations; Political Theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D45LHUKC","book","2008","Murchland, Bernard","The arrow that flies by day : existential images of the human condition from Socrates to Hannah Arendt : a philosophy for dark times","","978-0-7618-4042-8","","","","","2008","2026-02-02 18:47:40","2026-02-02 18:51:33","","","","","","","","","","","","","University Press Of America","Lanham, Md","eng","","","","","","","Publication Title: The arrow that flies by day : existential images of the human condition from Socrates to Hannah Arendt : a philosophy for dark times LCCN: 2008922491","","","","Existentialism – History","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
